Breed,Age (Years),Weight (kg),Color,Gender
Boston Terrier,6,46,White,Female
Bull Terrier,11,34,Red,Male
Akita,2,30,Black,Male
Rottweiler,2,24,Spotted,Female
Irish Setter,1,37,White,Male
Cavalier King Charles Spaniel,5,17,Merle,Male
Bichon Frise,10,54,Brindle,Male
Weimaraner,14,52,Brindle,Male
Boxer,12,58,Red,Female
Yorkshire Terrier,11,43,Blue,Male
Papillon,13,49,Tan,Female
Boston Terrier,14,22,Gray,Female
Havanese,12,34,Merle,Female
Lhasa Apso,11,9,Black and White,Male
Bull Terrier,4,27,Blue,Male
Alaskan Malamute,4,19,Tricolor,Female
West Highland White Terrier,5,41,White,Male
Shih Tzu,11,54,Blue,Male
Jack Russell Terrier,4,21,Black and White,Male
Boxer,10,20,Black,Female
Bichon Frise,6,36,Brown,Male
Border Collie,14,22,Blue,Female
Vizsla,13,5,Black and Tan,Female
Akita,9,20,Black and Tan,Male
Beagle,2,7,Brindle,Male
Belgian Malinois,11,34,Black and White,Male
Samoyed,14,44,Black,Male
Vizsla,10,50,Sable,Female
Beagle,4,39,Cream,Female
Shetland Sheepdog,1,18,Bicolor,Male
French Bulldog,7,55,Black and Tan,Male
Pembroke Welsh Corgi,5,35,Black and White,Female
West Highland White Terrier,8,8,Red,Male
Pembroke Welsh Corgi,7,38,Red,Female
Pekingese,6,59,Spotted,Male
Chihuahua,7,57,Black and Tan,Male
Cocker Spaniel,1,40,Gray,Male
Border Collie,8,24,White,Male
Alaskan Malamute,8,9,Red,Male
Pug,14,16,Brown,Female
Saint Bernard,2,55,Black and White,Male
Papillon,1,42,Spotted,Female
Doberman Pinscher,11,19,Blue,Male
Pug,14,52,Sable,Male
Dachshund,12,17,Blue,Male
Boxer,12,43,Brindle,Female
Saint Bernard,3,47,Tan,Female
Bernese Mountain Dog,12,54,Tricolor,Female
Border Collie,7,33,Black and Tan,Male
Chinese Shar-Pei,7,25,Black and White,Female
Australian Shepherd,8,37,Brown,Male
Bichon Frise,5,48,Spotted,Male
Bulldog,4,11,Tan,Female
Bloodhound,4,19,Black,Female
Shetland Sheepdog,6,53,Red,Female
Bull Terrier,2,42,Blue,Female
Rottweiler,1,50,Spotted,Female
Dogo Argentino,12,7,Blue,Male
Havanese,2,57,Spotted,Female
Airedale Terrier,3,14,Cream,Male
Bloodhound,6,32,Spotted,Male
Alaskan Malamute,13,52,Tricolor,Female
Alaskan Malamute,11,34,Merle,Female
Pomeranian,5,39,Black and White,Male
Great Dane,10,10,Tan,Male
Irish Setter,3,29,Sable,Male
Alaskan Malamute,10,47,Black and Tan,Male
Beagle,7,50,Merle,Male
Shih Tzu,5,15,Red,Female
Shih Tzu,12,50,Black and White,Female
Doberman Pinscher,2,17,White,Female
Basenji,1,9,Gray,Female
Cavalier King Charles Spaniel,12,59,Spotted,Male
Bulldog,8,38,Tricolor,Male
Miniature Schnauzer,12,41,Gray,Female
Lhasa Apso,9,41,Black and White,Male
Golden Retriever,3,34,Brown,Female
Bichon Frise,9,43,Tan,Female
Yorkshire Terrier,6,15,Bicolor,Female
Alaskan Malamute,4,47,Black and White,Female
Australian Shepherd,3,40,Spotted,Male
Chinese Shar-Pei,3,39,Black and White,Male
Havanese,13,17,Red,Male
Jack Russell Terrier,7,26,Black and Tan,Female
Cavalier King Charles Spaniel,9,11,Brindle,Male
Shih Tzu,12,36,Black and White,Male
Great Dane,2,17,Cream,Female
Irish Setter,5,47,Sable,Male
Chihuahua,14,7,Tan,Female
Whippet,14,56,White,Female
Irish Setter,2,28,Merle,Female
Samoyed,11,29,Bicolor,Male
Chesapeake Bay Retriever,4,15,Black,Female
Bulldog,8,54,Black and White,Male
Papillon,14,16,Cream,Female
Dachshund,14,59,Black,Female
Papillon,4,45,Tan,Male
Miniature Schnauzer,1,58,Brown,Female
Weimaraner,12,9,Bicolor,Male
Yorkshire Terrier,8,39,Black and Tan,Male
Boxer,4,22,Bicolor,Female
Irish Setter,1,9,Black and Tan,Female
Shih Tzu,9,31,Black and White,Female
Siberian Husky,4,45,Bicolor,Male
Pekingese,12,12,Black and White,Female
Chihuahua,8,7,Spotted,Female
Basenji,5,58,Tan,Male
Shih Tzu,2,39,Brown,Male
Boxer,7,38,Bicolor,Female
Irish Setter,13,48,Spotted,Female
Siberian Husky,5,25,Tan,Female
Vizsla,11,34,Blue,Female
Pekingese,4,49,Bicolor,Male
Samoyed,13,7,Blue,Female
Pembroke Welsh Corgi,7,19,White,Female
